Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22875069,I Will Always Write Back: How One Letter Changed Two Lives,Caitlin Alifirenka,"Alifirenka, Caitlin","Liz Welch, Martin Ganda, Chukwudi Iwuji","=""0316241318""","=""9780316241311""",0,4.39,"Little, Brown Books for Young Readers",Hardcover,392,2015,2015,,2024/04/08,to-read,to-read (#23),to-read,,,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",1,3.99,Viking,Hardcover,288,2020,2020,,2024/02/27,,,read,Still have a chapter or so left. So painful to finish,,,1,0
93686824,"Icebreaker (Maple Hills, #1)",Hannah  Grace,"Grace, Hannah",,"=""1398525685""","=""9781398525689""",2,3.84,Simon & Schuster Ltd,Paperback,433,2023,2022,2024/04/08,2024/04/04,,,read,"The book started decent, would’ve given it 3 stars, but got so damn cheesy and excessively sexual that I have no other choice but to give it a 2. (2.25 to be generous) I see why people would like it but definitely not for me. ",,,1,0
56852407,Billy Summers,Stephen King,"King, Stephen",,"=""1982173610""","=""9781982173616""",0,4.20,Scribner,Hardcover,515,2021,2021,,2024/04/08,to-read,to-read (#22),to-read,,,,0,0
62926938,The Seven Year Slip,Ashley Poston,"Poston, Ashley",,"=""""","=""""",0,4.23,Berkley,Paperback,352,2023,2023,,2024/04/06,to-read,to-read (#21),to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",4,4.35,Entangled: Red Tower Books,Hardcover,640,2023,2023,2024/04/03,2024/03/22,,,read,"I had to take a minute before I felt like I could impassively review this book. I knew almost 50% of the way through that this would be a 4(.5) star book. Though it was engaging, I didn’t feel as passionate about getting through it as I did Fourth Wing. IMO there were too many subplots going on and though the author did a great job tying them in throughout the end of the book, it was just all a bit much to keep up with. Some of these subplots were also a bit anticlimactic. With that being said, I do think these books are extremely detailed and well thought out. I really have come to love the characters and the relationship development over the course of the story. Per usual, the last few pages left me absolutely gagged for about 5 minutes after closing the book. The author has managed the art of cliff hangers that is for sure. I will be pre ordering Onyx Storm ",,,1,0
50093704,In Five Years,Rebecca Serle,"Serle, Rebecca",,"=""1982137444""","=""9781982137441""",3,3.78,Atria Books,Hardcover,272,2020,2020,2024/04/04,2024/03/25,,,read,Haven’t bawled my eyes out for a book in a minute but this one did it. Nothing to drive home about but definitely a whirlwind of emotions. <br/><br/>Moral of the story…TELL PEOPLE YOU LOVE THEM AND LIVE IN THE PRESENT!!! <br/><br/>Going to need a lighter read after this one…,,,1,0
60406379,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1797147943""","=""9781797147949""",5,4.46,Simon & Schuster Audio,Audiobook,7,2022,2022,2024/03/30,2024/02/27,,,read,"Heart-wrenching, unbelievable, hard to digest, sad but inspiring. Really tough story and really takes a lot of courage to tell a story this raw. Really great audio book. ",,,1,0
62967897,"Hopeless (Hopeless, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.24,Atria Books,Paperback,408,2022,2012,,2024/03/27,to-read,to-read (#20),to-read,,,,0,0
45832904,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",Ramón de Ocampo,"=""125023395X""","=""9781250233950""",3,4.08,Macmillan Audio,Audiobook,12,2019,2019,2024/03/26,2024/03/22,,,read,"I’ve been wanting to read this book after watching the movie on Netflix. Also thought it would be a vibe to listen while walking around DC which is was. Though I don’t think I would’ve liked it as much if I didn’t listen to it, the story was cheesy but sweet, heartfelt, and inspiring nonetheless. The friendships and overall relationship developments throughout the book were my favorite part. Think I might go and watch the movie again for fun! ",,,1,0
